"script","case","ope_n_script","n_non1","meanpred"
"01_first","lc",1.47977698418425,646,0.909886574301071
"01_first","uc",1.56002368016971,737,0.933626397015335
"02_second","lc",1.52764318048979,704,0.929142885300974
"02_second","uc",1.48196050468778,632,0.897428260496019
"03_third","lc",1.533991703413,666,0.918785527609057
"03_third","uc",1.56642478725915,781,0.917853894241632
"04_fourth","lc",1.60217081708481,617,0.942998403700091
"04_fourth","uc",1.57238344525395,599,0.931535968695941
"05_fifth","lc",1.43307998926345,538,0.911942449270243
"05_fifth","uc",1.5134418696617,641,0.912852043493504
"06_sixth","lc",1.44955379452931,522,0.920521777824009
"06_sixth","uc",1.47057077081845,554,0.907664537628437
"07_seventh","lc",1.44766111457858,711,0.907237485495118
"07_seventh","uc",1.45703958583146,713,0.894936738315997
"08_eight","lc",1.36504813838988,639,0.894396646343622
"08_eight","uc",1.37301604559151,723,0.888562404427672
"09_ninth","lc",1.48061851356139,689,0.91991913433901
"09_ninth","uc",1.51918668451199,696,0.921159047173246
"10_tenth","lc",1.38169648076152,410,0.909227458337932
"10_tenth","uc",1.47325179581914,571,0.907770760196844
